timestamp(ms),temp,Schlupf %,Force,
"1767109822.64",,"1.1","24.424",
"1767109822.641","202.57",,,
"1767109822.739","202.68","1.1","24.377",
"1767109822.839","202.76","1.11","24.377",
"1767109822.939","201.08","1.11","24.318",
"1767109823.039",,"1.09","24.318",
"1767109823.04","202.59",,,
"1767109823.139","201.84","1.09","24.248",
"1767109823.239","202.44","1.1","24.248",
"1767109823.339",,,"24.246",
"1767109823.34","202.88","1.1",,
"1767109823.439","202.88","1.11","24.246",
"1767109823.539",,"1.08","24.204",
"1767109823.54","202.85",,,
"1767109823.64",,,"24.204",
"1767109823.641","202.64","1.09",,
"1767109823.739",,"1.09","24.104",
"1767109823.74","202.58",,,
"1767109823.839",,,"24.104",
"1767109823.84","202.59","1.1",,
"1767109823.939",,"1.1","24.071",
"1767109823.94","202.94",,,
"1767109824.039",,,"24.071",
"1767109824.04","201.97","1.11",,
"1767109824.139",,,"24.075",
"1767109824.14","202.48","1.08",,
"1767109824.239",,,"24.075",
"1767109824.24","202.59","1.09",,
"1767109824.339",,,"24.136",
"1767109824.34","202.1","1.09",,
"1767109824.439",,,"24.136",
"1767109824.44","202.95","1.1",,
"1767109824.539","202.81","1.11","24.089",
"1767109824.641","202.83","1.11","24.089",
